n_evals,gd_global_default
7,0.0740034377233817
14,0.07400343772338168
21,0.07400343772338168
28,0.07400343772338171
35,0.07458256370246628
42,0.07431032296687728
49,0.07585592578541879
56,0.0812734804931233
63,0.08161983939310428
70,0.08361179381317384
79,0.08446476276031166
90,0.08446306159448191
101,0.03725700048375825
112,0.03657309541056999
123,0.036959925408811725
132,0.03570213272427692
143,0.040231237909563344
154,0.044602998671981094
165,0.04319650911589726
176,0.041237749904354935
187,0.040712701387699654
206,0.039871921517721
225,0.03336992751267398
244,0.033673213756574734
263,0.034475929997027546
276,0.03509395046534078
302,0.035950928420874134
328,0.03538337581398943
354,0.037087232621209595
380,0.03641928373036629
406,0.036452466058194875
455,0.0401676559316281
504,0.03470702831474824
553,0.03216203629429629
602,0.030456777198168222
633,0.031867293753054575
686,0.03614562214338427
739,0.038105939017059866
792,0.032062690603645465
845,0.030937938350537233
886,0.030938008175423366
967,0.0249208593992565
1048,0.032214725060108446
1129,0.02613604194547171
1210,0.02598080944324331
