n_evals,gd_all_default
7,0.0740034377233817
14,0.0740034377233817
21,0.0740034377233817
28,0.0740034377233817
35,0.07310468542355453
42,0.07310468542355453
49,0.08424634108607275
56,0.08362176964178004
63,0.0840443516929713
70,0.07819184665376158
79,0.08910870480583995
90,0.07313061272952115
101,0.03352660917545862
112,0.03352660917545862
123,0.031090226214315984
132,0.031090226214315984
143,0.03012234625102701
154,0.037186962830811805
165,0.037186962830811805
176,0.0375146786044357
187,0.0375146786044357
206,0.03440685236285972
225,0.03328709744529775
244,0.03984795406775022
263,0.03984795406775022
276,0.03984795406775022
302,0.040792853869637595
328,0.03492964385859852
354,0.03514717777780022
380,0.03669112356988508
406,0.03669112356988508
455,0.05111556868215437
504,0.04292731844563149
553,0.041500093487852455
602,0.040239392014315443
633,0.040239392014315443
686,0.04343046212995368
739,0.04294070683810984
792,0.032088393397752074
845,0.03093851227704026
886,0.03093851227704026
967,0.023989624181442168
1048,0.04027876891201593
1129,0.0307419933713878
1210,0.028450310115419087
