n_evals,hv_all
7,0.4779888450807443
14,0.4779888450807443
21,0.4779888450807443
28,0.4779888450807443
35,0.4780718733727686
42,0.4780718733727686
49,0.5083436847107777
56,0.5083905899970358
63,0.5102524089923194
70,0.5145599821437493
79,0.5145599821437493
90,0.5145599825610222
101,0.5894351066015538
112,0.5894351066015538
123,0.5987459347440068
132,0.5987459347440068
143,0.5987459350634741
154,0.6008505510829072
165,0.6008505510829072
176,0.6025649147799127
187,0.6025649147799127
206,0.6025649147799127
225,0.6093490709186196
244,0.6108878042249342
263,0.6108878042249342
276,0.6108878042249342
302,0.6157689115880917
328,0.6179402632726664
354,0.6229385716097217
380,0.622938571611851
406,0.622938571611851
455,0.6283156465303347
504,0.6431808984354083
553,0.6473930863920794
602,0.649993370807286
633,0.649993370807286
686,0.6550920672383971
739,0.6554997782021763
792,0.6641324601876191
845,0.6644808790528361
886,0.6644808790528361
967,0.667553374440825
1048,0.6724771998616269
1129,0.6793539403105916
1210,0.6803760008223853
