n_evals,sp
7,0.2922956122723302
14,0.2922956122723302
21,0.2922956122723302
28,0.2922956122723302
35,0.2908812167567493
42,0.2908812167567493
49,0.24935468582689216
56,0.24883295132950126
63,0.24851886728206696
70,0.2487360766125599
79,0.2189726790144818
90,0.18439818629132407
101,0.18436674882100812
112,0.18436674882100812
123,0.1941582084378418
132,0.1941582084378418
143,0.1583843091072834
154,0.1561164790319448
165,0.1561164790319448
176,0.15894955361344856
187,0.15894955361344856
206,0.1415579608077139
225,0.18117488070490284
244,0.1664276691578838
263,0.1664276691578838
276,0.1664276691578838
302,0.10511798034649529
328,0.09078344967479289
354,0.08321817235836522
380,0.07988962902810995
406,0.07988962902810995
455,0.0907806811072956
504,0.08321386290654385
553,0.0713102018510078
602,0.06655739772140683
633,0.06655739772140683
686,0.053962793404148786
739,0.0464338163499915
792,0.05254478499871426
845,0.04991658779181641
886,0.04991658779181641
967,0.046446447048503016
1048,0.08309957387130042
1129,0.09497122285440293
1210,0.07132511887297886
