Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Critical adapted distance,Velocity at critical distance
108,0.567939,1.421106,2.289403,-0.918457,-3.032908
109,0.569984,1.420756,2.257530,-0.890896,-3.035648
110,0.389414,0.719028,1.697699,-0.999486,-2.077119
111,0.788629,2.208838,1.917932,-0.986978,-2.115706
112,0.567939,1.400940,2.226387,-0.899198,-3.032908
113,0.492461,1.237804,2.722646,-0.996990,-1.557835
114,0.788629,2.208825,1.913044,-0.986977,-2.115706
115,0.567939,1.416361,2.257530,-0.875310,-3.032908
116,0.472391,1.123483,2.689791,-0.991483,-1.505509
117,0.788629,2.207826,1.913277,-0.986934,-2.115706
118,0.788629,2.207826,1.913050,-0.986934,-2.115706
119,0.472391,1.292372,2.689791,-0.797420,-2.681535
120,0.788629,2.207111,1.917932,-0.986902,-2.115706
