Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
0,0.789120,2.207097,1.913044,-0.999838,-2.116886,1
1,0.789120,2.207097,1.917698,-0.999838,-2.116886,1
2,1.243155,2.527125,0.997374,-0.595040,-3.975345,0
3,1.508758,2.034944,0.292360,-0.464489,-6.050245,0
4,1.518550,2.001019,0.226976,-0.412173,-6.286527,0
5,0.567939,1.421106,2.289403,-0.918457,-3.032908,1
6,1.996670,1.798703,0.387494,-0.000000,-6.967171,0
7,1.983700,1.809022,0.292270,-0.000001,-6.921194,0
8,1.395961,2.298502,0.456067,-0.355636,-6.310128,0
9,1.999690,1.169790,0.447052,-0.000000,-6.977430,0
10,1.357926,2.096253,0.295080,-0.572035,-4.817201,0
11,1.950011,2.036433,0.000946,-0.192592,-6.520801,0
12,1.358548,2.050858,0.237624,-0.576200,-4.582837,0
13,1.509259,2.007131,0.259567,-0.461576,-6.190861,0
14,1.518550,2.001019,0.229740,-0.412173,-6.286527,0
15,1.481211,2.007131,0.259567,-0.413426,-6.206219,0
16,1.564711,1.982765,0.059063,-0.150612,-6.616553,0
17,1.999961,1.169790,1.907259,-0.000000,-6.986983,0
18,1.357926,2.096253,0.295847,-0.572035,-4.817201,0
19,0.569984,1.420756,2.257530,-0.890896,-3.035648,1
20,1.505220,1.876792,0.059063,-0.469616,-5.392727,0
