Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Critical adapted distance,Velocity at critical distance,Critical
101,1.864111,1.144428,1.196311,-0.000000,-6.416495,0
102,1.266698,2.294001,0.313715,-0.014636,-4.928484,0
103,1.696154,2.872787,0.955040,-0.000000,-5.520358,0
104,1.508758,2.065735,0.350298,-0.443513,-3.820256,0
105,0.472391,1.123483,2.689791,-0.991483,-1.505509,1
106,0.788629,2.207097,1.913044,-0.986902,-2.115706,1
107,1.945004,2.374788,1.222601,-0.000000,-6.310698,0
108,1.989102,0.560073,0.713199,-0.000000,-6.940700,0
109,1.266670,2.294001,0.313715,-0.014636,-4.928484,0
110,1.996670,1.799398,2.011764,-0.000000,-6.976237,0
111,1.656084,2.872787,0.955040,-0.000000,-5.374288,0
112,1.864111,1.144428,1.217495,-0.000000,-6.393340,0
113,1.696154,2.868544,0.955040,-0.000000,-5.520358,0
114,0.987965,2.696854,0.247822,-0.096621,-2.913722,0
115,0.788629,2.206283,1.917932,-0.986866,-2.115706,1
116,1.235377,1.293590,0.483362,-0.000126,-3.803683,0
117,1.560898,2.544330,0.048257,-0.000823,-3.448119,0
118,1.506650,2.872787,0.955040,-0.000000,-4.829053,0
119,1.543777,2.544330,0.048257,-0.000745,-3.448123,0
120,1.235405,1.293590,0.483362,-0.000126,-3.804334,0
121,1.889747,0.756864,2.390977,-0.000000,-6.537488,0
122,1.943663,2.320203,3.497401,-0.000000,-6.757810,0
123,1.982826,0.560073,4.618239,-0.000000,-6.917719,0
124,1.821533,0.844970,1.281434,-0.000000,-6.248136,0
125,1.657220,2.539802,1.000068,-0.000000,-5.363355,0
126,1.657220,2.633276,1.000068,-0.000000,-5.358315,0
127,1.678142,2.539802,1.000068,-0.000000,-5.437446,0
128,0.795603,2.210142,2.428723,-0.007275,-2.131480,0
129,0.601982,2.731370,3.095421,-0.822737,-1.823045,1
130,0.460713,2.944263,4.413264,-0.985627,-1.475509,1
131,0.461084,2.944263,4.360160,-0.880832,-1.479730,1
132,0.538411,1.547234,2.645383,-0.453948,-2.093513,0
133,1.366266,2.784860,0.102658,-0.000254,-2.423221,0
134,1.233868,2.411517,1.497206,-0.000000,-3.692572,0
135,1.185141,1.498210,0.848820,-0.000037,-3.602387,0
136,1.969105,2.237522,2.690183,-0.000000,-6.856683,0
137,1.949802,1.216440,2.110355,-0.000000,-6.788987,0
138,1.882601,2.383011,2.523306,-0.000000,-6.511469,0
139,1.872751,2.065735,3.057853,-0.000000,-6.464311,0
140,1.821533,0.844970,1.334152,-0.000000,-6.248136,0
141,1.573734,2.888490,1.242625,-0.000000,-4.945222,0
142,1.596840,2.890036,1.238313,-0.000000,-5.033939,0
143,1.982724,2.535280,0.418717,-0.766062,-0.052351,0
144,0.510455,0.927035,0.659962,-0.575163,-1.226464,0
145,0.554749,1.165548,1.682841,-0.730548,-0.327410,1
146,0.690152,0.721932,0.330561,-0.064410,-1.997238,0
147,0.697559,2.332202,0.826110,-0.023320,-2.002802,0
148,0.567939,1.018669,2.176457,-0.294320,-1.740371,0
149,0.611662,2.749780,3.399125,-0.242749,-1.845870,0
150,1.233868,2.411517,1.890490,-0.000000,-3.624661,0
151,0.954922,0.863239,0.751640,-0.000000,-2.719800,0
152,1.065575,0.836295,0.383275,-0.000000,-3.139576,0
153,1.162490,1.525783,1.696076,-0.000000,-3.385955,0
154,1.116386,2.717161,1.917932,-0.000000,-3.236832,0
155,1.838382,2.383011,2.523306,-0.000000,-6.321895,0
156,1.800000,1.799398,2.011764,-0.000000,-5.711389,0
157,1.734841,1.734326,3.933704,-0.000000,-5.896306,0
158,1.790160,2.849133,4.266272,-0.000000,-6.127842,0
159,1.630779,1.260067,2.149575,-0.000000,-5.054751,0
160,1.734873,1.734326,3.933704,-0.000000,-5.896306,0
161,1.234888,1.257597,1.376254,-0.000000,-3.691518,0
162,1.500119,1.144428,1.248562,-0.000000,-4.671025,0
163,0.322648,2.240488,4.855171,-0.318974,-1.112718,0
164,0.554749,1.167897,1.682841,-0.705672,-0.327374,1
165,0.674453,2.330650,0.830422,-0.015971,-1.963744,0
166,1.409023,2.978885,0.110446,-0.000259,-1.970687,0
167,0.326603,0.803890,0.507069,-0.247395,-1.120214,0
168,0.611662,2.787282,3.492200,-0.045452,-1.843162,0
169,0.602412,1.507573,0.758610,-0.193375,-1.821635,0
170,0.455460,1.126512,3.497008,-0.229673,-1.470510,0
171,1.064467,1.257097,1.330362,-0.000000,-3.091367,0
172,0.900654,1.843596,2.428783,-0.000000,-2.453964,0
173,1.057018,0.797340,0.585270,-0.000000,-3.108595,0
174,1.836937,1.674744,2.713290,-0.000000,-6.316137,0
175,1.569894,1.386520,4.104021,-0.000000,-5.226316,0
176,1.569894,1.443467,3.491060,-0.000000,-5.226316,0
177,1.517017,2.169037,3.500523,-0.000000,-5.009520,0
178,1.635783,1.293113,3.830191,-0.000000,-5.499810,0
179,1.225058,1.064293,1.697699,-0.000000,-3.578915,0
180,1.123360,2.721019,2.428723,-0.000000,-3.158286,0
181,1.481333,2.017205,1.853602,-0.000000,-4.404129,0
182,0.829164,1.881803,0.392366,-0.300476,-0.807582,0
183,0.493290,0.819856,0.659962,-0.603900,-0.047104,0
184,0.326603,0.707226,0.507069,-0.316929,-0.085873,0
185,0.493290,0.801569,0.659962,-0.565193,-0.067971,0
186,0.627918,2.419031,3.809167,-0.000003,-1.864406,0
187,0.474974,1.881803,0.392366,-0.000486,-1.553295,0
188,0.455460,1.123483,3.497008,-0.217013,-1.470510,0
189,0.900654,1.843596,2.481501,-0.000000,-2.467766,0
190,0.923687,2.453052,2.764955,-0.000000,-2.573097,0
191,1.786113,2.261465,3.389789,-0.000000,-6.114104,0
192,1.816696,2.378455,2.920732,-0.000000,-6.238950,0
193,1.802593,2.956442,3.238831,-0.000000,-6.178531,0
194,0.577037,1.017125,1.219463,-0.551272,-0.047677,0
195,1.816506,2.394563,4.356583,-0.000000,-6.238349,0
196,1.955651,2.535280,0.408387,-0.497143,-0.063488,0
197,0.631392,1.369308,0.557464,-0.190753,-0.142239,0
198,0.403071,1.081707,1.021965,-0.176809,-1.331622,0
199,0.440584,2.983159,2.307253,-0.006590,-1.456086,0
200,1.976208,0.560073,0.713199,-0.000000,-6.894367,0
201,1.864111,1.144428,1.196311,-0.000000,-6.416495,0
202,0.472391,1.123483,2.689791,-0.991483,-1.505509,1
203,0.788629,2.207097,1.913044,-0.986902,-2.115706,1
204,1.945004,2.374788,1.222601,-0.000000,-6.310698,0
205,1.989102,0.560073,0.713199,-0.000000,-6.940700,0
206,1.864111,0.838315,1.073026,-0.000000,-6.424869,0
207,1.481333,2.007131,0.052257,-0.057584,-6.287725,0
208,1.996670,1.799398,1.985189,-0.000000,-6.976237,0
209,1.508758,2.036799,0.292360,-0.453522,-6.050245,0
210,1.864111,1.144428,1.217495,-0.000000,-6.393340,0
211,0.788629,2.206283,1.917932,-0.986866,-2.115706,1
212,1.989102,0.560073,1.023761,-0.000000,-6.940700,0
213,1.996670,1.799398,2.011764,-0.000000,-6.976237,0
214,1.996670,2.247580,2.011764,-0.000000,-6.976237,0
215,1.996670,0.753132,2.011764,-0.000000,-6.976237,0
216,1.508758,2.065735,0.350298,-0.443513,-3.820256,0
217,1.508758,2.065735,0.354782,-0.443513,-3.820256,0
218,1.266670,2.294001,0.484633,-0.083992,-5.868660,0
219,1.821533,0.844970,1.281434,-0.000000,-6.248136,0
220,1.821533,0.785066,1.287071,-0.000000,-6.255844,0
221,0.601982,2.731370,3.095421,-0.822737,-1.823045,1
222,0.460713,2.944263,4.413264,-0.985627,-1.475509,1
223,0.538411,1.547234,2.645383,-0.453948,-2.093513,0
224,0.471256,1.123483,2.689791,-0.979685,-1.502288,1
225,1.850460,0.822780,1.438904,-0.000000,-6.368578,0
226,1.889747,0.756864,2.390977,-0.000000,-6.537488,0
227,1.943663,2.320203,3.497401,-0.000000,-6.757810,0
228,1.982826,0.560073,4.618239,-0.000000,-6.917719,0
229,1.990921,1.112107,2.689791,-0.000000,-6.955683,0
230,0.987965,2.696854,0.247822,-0.096621,-2.913722,0
231,0.389414,0.913705,1.697699,-0.383982,-2.548975,0
232,0.987965,2.696854,0.359919,-0.183870,-2.888516,0
233,1.657220,2.347622,0.498272,-0.438872,-2.236049,0
234,0.980885,2.700115,0.486907,-0.337790,-2.847029,0
235,1.569894,1.386520,0.615997,-0.000000,-5.226316,0
236,1.266698,2.294001,0.340316,-0.019395,-5.089558,0
237,1.544014,2.535280,0.419929,-0.042109,-3.334341,0
238,1.667438,1.388586,0.545808,-0.000000,-5.625594,0
239,0.990306,2.544330,0.051762,-0.053729,-2.946992,0
240,1.821533,0.844970,1.334152,-0.000000,-6.248136,0
241,0.326603,0.707226,1.008865,-0.488296,-1.695421,0
242,0.461084,2.944263,4.360160,-0.880832,-1.479730,1
243,1.926527,2.383011,2.523306,-0.000000,-6.684382,0
244,1.969105,2.237522,2.690183,-0.000000,-6.856683,0
245,1.949802,1.216440,2.110355,-0.000000,-6.788987,0
246,1.969105,2.297466,2.684546,-0.000000,-6.856683,0
247,1.969105,1.789340,2.690183,-0.000000,-6.856683,0
248,0.690152,0.721932,0.330561,-0.064410,-1.997238,0
249,0.567939,1.018669,2.176457,-0.294320,-1.740371,0
250,0.611662,2.749780,3.399125,-0.242749,-1.845870,0
251,0.674453,1.883744,0.980002,-0.167568,-1.963949,0
252,1.266698,2.294001,0.313715,-0.014636,-4.928484,0
253,1.266670,2.294001,0.313715,-0.014636,-4.928484,0
254,1.656084,2.872787,0.955040,-0.000000,-5.374288,0
255,1.696154,2.863654,0.947209,-0.000000,-5.525403,0
256,0.698677,2.332202,0.826110,-0.023786,-2.003796,0
257,1.800000,1.799398,2.011764,-0.000000,-5.711389,0
258,1.786113,1.073994,1.708482,-0.000000,-5.670418,0
259,1.800000,2.705943,2.011764,-0.000000,-5.711389,0
260,0.529630,1.125646,1.682841,-0.745864,-0.412493,1
261,0.414044,1.077892,2.689791,-0.799461,-0.168560,1
262,0.510455,0.927879,0.659962,-0.591876,-1.310136,0
263,1.872751,2.065735,3.057853,-0.000000,-6.464311,0
264,1.734841,1.734326,3.933704,-0.000000,-5.896306,0
265,1.734873,1.734326,3.933704,-0.000000,-5.896306,0
266,1.883876,2.448240,2.695583,-0.000000,-6.517246,0
267,0.567939,1.047605,2.257530,-0.292543,-1.740371,0
268,0.602412,1.507573,0.758610,-0.193375,-1.821635,0
269,0.602412,1.507573,0.813186,-0.241138,-1.815717,0
270,0.611662,2.787282,3.492200,-0.045452,-1.843162,0
271,1.235377,1.293590,0.483362,-0.000126,-3.803683,0
272,1.506650,2.872787,0.955040,-0.000000,-4.829053,0
273,1.235405,1.293590,0.483362,-0.000126,-3.804334,0
274,0.795603,2.210142,2.428723,-0.007275,-2.131480,0
275,1.992925,2.544330,0.047088,-0.005087,-3.675548,0
276,1.366057,2.872787,0.955040,-0.000039,-4.319496,0
