Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Critical adapted distance,Velocity at critical distance
0,0.519161,1.810891,3.278141,-0.973701,-1.618413
1,0.388374,0.821978,2.519033,-0.988501,-1.275399
2,1.493710,1.964748,0.772464,-0.684086,-1.685590
3,0.477052,2.545921,4.119965,-0.952836,-1.521134
4,0.371249,0.513401,0.118000,-0.982019,-1.239903
5,1.735034,1.764526,0.457339,-0.877237,-0.649041
6,1.736735,2.508481,0.637105,-0.621534,-0.558308
7,0.755020,2.965477,2.464235,-0.995546,-2.082605
8,0.519161,1.810891,3.278141,-0.973701,-1.618413
9,0.388374,0.821978,2.519033,-0.988501,-1.275399
10,1.493710,1.964748,0.772464,-0.684086,-1.685590
11,0.519161,1.813833,3.278141,-0.880959,-1.622266
12,0.517030,1.563598,3.167569,-0.983732,-1.611144
13,0.477052,2.545921,4.119965,-0.952836,-1.521134
14,0.371249,0.513401,0.118000,-0.982019,-1.239903
15,1.493710,1.962536,0.770901,-0.661967,-1.602810
16,0.439184,2.545921,4.334724,-0.743905,-1.419676
17,0.306502,0.570995,2.366474,-0.970134,-1.077563
18,1.735034,1.764526,0.457339,-0.877237,-0.649041
19,1.736735,2.508481,0.637105,-0.621534,-0.558308
20,0.755020,2.965477,2.464235,-0.995546,-2.082605
21,0.835498,1.644631,1.523059,-0.787348,-2.285147
22,0.505050,1.558452,3.074862,-0.772400,-2.725330
23,0.519161,1.810891,3.278141,-0.973701,-1.618413
24,0.388374,0.821978,2.519033,-0.988501,-1.275399
25,0.519161,1.813833,3.278141,-0.880959,-1.622266
26,0.517030,1.563598,3.167569,-0.983732,-1.611144
27,0.383870,0.827124,2.519033,-0.992955,-1.267532
28,1.493710,1.964748,0.772464,-0.684086,-1.685590
29,0.477052,2.545921,4.128589,-0.953305,-1.521134
30,0.371249,0.513401,0.118000,-0.982019,-1.239903
31,1.493710,1.962536,0.770901,-0.661967,-1.602810
32,0.477052,2.545921,4.119965,-0.952836,-1.521134
33,0.306502,0.570995,2.366474,-0.970134,-1.077563
34,0.439184,2.545921,4.334724,-0.743905,-1.419676
35,1.735034,1.764526,0.457339,-0.877237,-0.649041
36,0.323590,0.513445,0.620107,-0.632985,-0.799664
37,0.687979,1.379193,1.421296,-0.615261,-0.971717
38,1.736735,2.508481,0.637105,-0.621534,-0.558308
39,0.755020,2.965477,2.464235,-0.995546,-2.082605
40,0.976634,2.503969,1.437968,-0.910124,-2.798957
41,0.755020,2.959177,2.464235,-0.995474,-2.082605
42,0.835498,1.644631,1.523059,-0.787348,-2.285147
43,0.505050,1.558452,3.074862,-0.772400,-2.725330
44,0.755020,2.965477,2.480783,-0.993917,-2.082605
45,0.505050,1.558452,3.048790,-0.661871,-2.663585
46,0.388374,0.821978,2.519033,-0.988501,-1.275399
47,0.519161,1.813833,3.278141,-0.880959,-1.622266
48,0.383870,0.827124,2.519033,-0.992955,-1.267532
49,1.493710,1.964748,0.772464,-0.684086,-1.685590
50,0.517661,1.803051,3.278141,-0.988275,-1.612652
51,0.519161,1.810891,3.306595,-0.975875,-1.618413
52,0.517030,1.563598,3.167569,-0.983732,-1.611144
53,0.396276,0.832760,2.519033,-0.985549,-1.303551
54,0.519161,1.810891,3.278141,-0.973701,-1.618413
