n_evals,sp
100,0.19570987381629604
200,0.11479032485361775
300,0.20696590073266202
400,0.12546529895741992
500,0.15918652799988187
600,0.13450225706779237
700,0.10835505940363986
800,0.14861513264099385
900,0.2430480038021819
1000,0.24574126814214586
