Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Critical adapted distance,Velocity at critical distance
553,0.838530,1.559877,1.436248,-0.695898,-2.296005
554,0.800511,1.174150,0.979173,-0.943205,-2.151838
555,0.809274,1.198290,0.977302,-0.896430,-2.187564
556,0.275624,0.674152,3.857503,-0.997512,-0.989738
557,0.474587,0.742524,1.365422,-0.985423,-1.516272
558,0.271491,0.683055,3.849890,-0.998366,-0.988301
559,0.838530,1.557962,0.973308,-0.694692,-4.101019
560,0.809224,1.198278,0.977302,-0.896380,-2.187564
561,0.275624,0.701920,3.937395,-0.992997,-0.989738
562,0.474587,0.750907,1.365422,-0.985113,-1.516272
563,0.271491,0.689730,3.849890,-0.997503,-0.988301
564,0.838530,1.559877,0.973308,-0.678806,-4.101019
565,0.808131,1.403938,1.365422,-0.886731,-2.182878
566,0.809224,1.189896,0.977302,-0.862130,-2.186092
567,0.275624,0.701920,3.849710,-0.989816,-0.989738
568,0.279113,0.683055,3.849890,-0.991568,-0.989552
569,0.271491,0.672701,3.891594,-0.997398,-0.988301
570,0.836445,1.557430,0.973461,-0.664219,-4.098849
571,0.489440,0.750907,1.365422,-0.881308,-1.547464
572,0.808131,1.397042,1.365422,-0.859125,-2.182878
573,0.809224,1.179193,0.977302,-0.812144,-2.186092
574,0.279226,0.674152,3.907698,-0.959157,-0.989736
575,0.271491,0.707461,3.891594,-0.996068,-0.988301
576,0.271491,0.707461,3.899238,-0.996068,-0.988301
577,0.439792,0.884479,0.973308,-0.627900,-2.804334
578,0.804098,1.454713,0.967314,-0.643195,-1.696367
579,0.647042,1.143913,0.784967,-0.651675,-1.688370
580,0.271491,0.707692,3.891594,-0.996038,-0.988301
