Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Critical adapted distance,Velocity at critical distance,Critical
0,0.394219,1.890053,4.687693,-0.955074,-1.300600,1
1,0.430867,1.168613,3.652155,-0.814153,-1.384115,1
2,0.624166,0.887599,1.111945,-0.794307,-1.867994,1
3,0.990578,1.862958,0.846998,-0.455982,-4.779458,0
4,1.228640,1.819129,0.046964,-0.129010,-5.904239,0
5,1.863304,0.967166,0.504111,-0.000000,-6.421557,0
6,1.931597,0.669591,1.769991,-0.000000,-6.702264,0
7,1.997223,1.138975,4.088407,-0.000000,-6.977739,0
8,0.416437,1.890053,4.687693,-0.965161,-1.373149,1
9,1.997223,1.138975,4.088407,-0.000000,-6.977739,0
10,0.994677,1.862958,0.846998,-0.503808,-4.786471,0
11,0.624166,0.887599,1.111945,-0.794307,-1.867994,1
12,1.228640,1.819129,0.046964,-0.129010,-5.904239,0
13,1.863304,0.967166,0.504111,-0.000000,-6.421557,0
14,0.430867,1.168613,3.652155,-0.814153,-1.384115,1
15,1.931597,0.669591,1.769991,-0.000000,-6.702264,0
16,1.997223,1.138975,4.088407,-0.000000,-6.977739,0
17,0.994677,1.862958,0.846998,-0.503808,-4.786471,0
18,0.624166,0.887599,1.111945,-0.794307,-1.867994,1
19,1.228640,1.819129,0.046964,-0.129010,-5.904239,0
20,1.863304,0.967166,0.504111,-0.000000,-6.421557,0
21,1.931597,0.669591,1.769991,-0.000000,-6.702264,0
22,1.997223,1.865965,4.088407,-0.000000,-6.977739,0
23,0.317199,1.190659,4.687693,-0.991117,-1.515314,1
24,1.997223,1.138975,4.088407,-0.000000,-6.977739,0
25,0.317199,1.190659,4.687693,-0.991117,-1.515314,1
26,0.994677,1.862958,0.846998,-0.503808,-4.786471,0
27,0.648374,0.887599,1.039750,-0.544740,-1.924914,0
28,1.228640,1.819129,0.046964,-0.129010,-5.904239,0
29,0.624166,0.887599,1.111945,-0.794307,-1.867994,1
30,1.863304,0.967166,0.504111,-0.000000,-6.421557,0
31,1.931597,0.669591,1.769991,-0.000000,-6.702264,0
32,1.997223,1.138975,4.088407,-0.000000,-6.977739,0
33,0.317199,1.190659,4.687693,-0.991117,-1.515314,1
34,0.994677,1.862958,0.846998,-0.503808,-4.786471,0
35,0.648374,0.887599,1.039750,-0.544740,-1.924914,0
36,1.228640,1.785281,0.046964,-0.239659,-5.984987,0
37,0.624166,0.887599,1.111945,-0.794307,-1.867994,1
38,1.863304,0.967166,0.504111,-0.000000,-6.421557,0
39,1.931597,0.669591,1.769991,-0.000000,-6.702264,0
40,0.317199,1.190659,4.687693,-0.991117,-1.515314,1
41,0.624166,0.887599,1.111945,-0.794307,-1.867994,1
42,0.648374,0.887599,1.039750,-0.544740,-1.924914,0
43,0.994677,1.862958,0.846998,-0.503808,-4.786471,0
44,1.228640,1.785281,0.046964,-0.239659,-5.984987,0
45,1.863304,0.967166,0.504111,-0.000000,-6.421557,0
46,1.931597,0.669591,1.769991,-0.000000,-6.702264,0
47,1.997223,1.138975,4.088407,-0.000000,-6.977739,0
48,0.317199,1.190659,4.687693,-0.991117,-1.515314,1
49,1.997223,1.138975,4.088407,-0.000000,-6.977739,0
