Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
0,0.630638,1.302153,2.083819,-0.999774,-1.879423,1
1,0.630638,1.302153,2.083819,-0.999774,-1.879423,1
2,0.630638,1.302153,2.083819,-0.999774,-1.879423,1
3,0.630638,1.302153,2.083819,-0.999774,-1.879423,1
4,0.630638,1.302153,2.083819,-0.999774,-1.879423,1
5,0.630638,1.302153,2.083819,-0.999774,-1.879423,1
6,0.630638,1.302153,2.083968,-0.999774,-1.879423,1
7,0.630638,1.302153,2.083819,-0.999774,-1.879423,1
8,0.630638,1.302153,2.083968,-0.999774,-1.879423,1
9,0.630638,1.302153,2.083819,-0.999774,-1.879423,1
10,0.630638,1.302153,2.083968,-0.999774,-1.879423,1
11,0.630599,1.302139,2.088195,-0.999415,-1.880202,1
12,0.630599,1.302139,2.088195,-0.999415,-1.880202,1
13,0.630599,1.302139,2.088046,-0.999415,-1.880202,1
14,0.630599,1.302139,2.088195,-0.999415,-1.880202,1
15,0.630599,1.302139,2.088046,-0.999415,-1.880202,1
16,0.630599,1.302139,2.088195,-0.999415,-1.880202,1
17,0.630599,1.302139,2.088046,-0.999415,-1.880202,1
18,0.630659,1.338012,2.088195,-0.998152,-1.880316,1
19,0.630659,1.338012,2.088195,-0.998152,-1.880316,1
20,0.630659,1.338012,2.088195,-0.998152,-1.880316,1
21,0.630659,1.338012,2.088195,-0.998152,-1.880316,1
22,0.630659,1.338012,2.088195,-0.998152,-1.880316,1
23,0.630659,1.338012,2.088195,-0.998152,-1.880316,1
24,0.630659,1.338012,2.088195,-0.998152,-1.880316,1
25,0.630659,1.338012,2.088195,-0.998152,-1.880316,1
26,0.630659,1.338012,2.088195,-0.998152,-1.880316,1
27,0.630659,1.338012,2.088195,-0.998152,-1.880316,1
28,0.630659,1.338012,2.088195,-0.998152,-1.880316,1
29,0.630659,1.338012,2.088195,-0.998152,-1.880316,1
30,0.633430,1.334249,2.088195,-0.997001,-1.890487,1
