n_evals,igd_all
100,0.30565404500869897
200,0.2636306017467764
300,0.23361238521229713
400,0.2336945066153292
500,0.23289970383909187
600,0.20569200938614113
700,0.1632968218828423
800,0.11858067739297413
900,0.11626271593949469
1000,0.1016800613208487
