n_evals,gd_all_default
5,0.14005532620922562
10,0.13937611435375755
15,0.12495381838659028
20,0.12495381838659028
25,0.14767806539435274
30,0.14767806539435274
35,0.1575658451755579
40,0.1462038955711144
45,0.1462038955711144
50,0.09698357700574896
56,0.10857167566751182
64,0.08801852755765663
72,0.08797305846807235
80,0.08330857051696045
88,0.09233400194412018
97,0.08331357807648981
110,0.09436720702299028
123,0.09235355561000748
136,0.09744469999167685
149,0.10542639361163555
164,0.09597262831664173
188,0.09184659176143507
212,0.10645847821831564
236,0.11143387734862731
260,0.12405680661342541
280,0.12405680661342541
315,0.10876268396640532
350,0.09363072568799621
385,0.08129341470049385
420,0.07378853018966668
454,0.07378853018966668
508,0.0719469436221107
562,0.09643524103992646
616,0.08185071704075426
670,0.06938173268463411
688,0.06938173268463411
717,0.0636365702764228
746,0.06799846103953414
775,0.06552977072476382
804,0.06101106278325674
827,0.06101106278325674
872,0.05164996481657458
917,0.05522117695714641
962,0.038469103652335086
1007,0.04660726715265445
1030,0.04660726715265445
1082,0.03366142542921491
1134,0.03205851819113734
1186,0.0437616138825121
1238,0.044806370252040505
