n_evals,igd_all
5,0.2533375844880122
10,0.25271236468870334
15,0.247565464697084
20,0.247565464697084
25,0.2469155583221198
30,0.2469155583221198
35,0.22577523318557324
40,0.21391943568478253
45,0.21391943568478253
50,0.21668159871172182
56,0.21668159871172182
64,0.21673126310418997
72,0.2167022804981272
80,0.21813196608146576
88,0.2153885014206816
97,0.2153885014206816
110,0.21535649704319362
123,0.21534014978570906
136,0.21534014978570906
149,0.20652012357942975
164,0.20652012357942975
188,0.20585206475462994
212,0.20426417515305165
236,0.20420845231485782
260,0.2000147505777006
280,0.2000147505777006
315,0.19773968719091028
350,0.1839592976457863
385,0.18136067237993114
420,0.18136053821334822
454,0.18136053821334822
508,0.1745266963281863
562,0.1729068753987597
616,0.1655704748654798
670,0.16055954156214441
688,0.16055954156214441
717,0.14993617983226323
746,0.14993617764066589
775,0.14993617764066589
804,0.14912970312982612
827,0.14912970312982612
872,0.14936582538179297
917,0.1466618437433813
962,0.124278537828675
1007,0.1181199418271649
1030,0.1181199418271649
1082,0.11649890548152696
1134,0.11649890548152696
1186,0.11649890547332466
1238,0.11649811261689
