n_evals,sp_global
5,0.4740377974596132
10,0.27376260196905783
15,0.17176829616832417
20,0.12500000000000008
25,0.1100692295983167
30,0.08695652173913057
35,0.0861897193465777
40,0.07999999999999992
45,0.06666666666666642
50,0.057142857142857
56,0.048780487804877926
64,0.04175936823720159
72,0.04506437249061411
80,0.03825696689086927
88,0.03886490201517221
97,0.033333333333333236
110,0.031249999999999827
123,0.025833046616825683
136,0.022727272727272964
149,0.02061855670103106
164,0.017857142857143144
188,0.02000000000000002
212,0.019607843137254898
236,0.01754385964912284
260,0.015873015873015976
280,0.013698630136986325
315,0.012422360248446899
350,0.01245957237480453
385,0.011695906432748423
420,0.01156069364161841
454,0.009661835748792329
508,0.016061484901041943
562,0.01773056272672262
616,0.022440277977263494
670,0.02127659574468098
688,0.017857142857142905
717,0.01680672268907568
746,0.013704867480391804
775,0.012903225806451583
804,0.012500000000000422
827,0.010928961748634116
872,0.011034291391878804
917,0.011049723756906178
962,0.01162790697674422
1007,0.01030927835051535
1030,0.009216589861751022
1082,0.012530214314285302
1134,0.012195121951219304
1186,0.011821098175412152
1238,0.012345679012346077
