n_evals,sp
5,0.4740377974596132
10,0.4739327422509783
15,0.4646439197044409
20,0.4646439197044409
25,0.41281665030268644
30,0.41281665030268644
35,0.3771519309307034
40,0.37911579739350837
45,0.37911579739350837
50,0.4704561767422877
56,0.37722702231218264
64,0.25936363221357195
72,0.2592574747786825
80,0.25912377201465087
88,0.2544786178802183
97,0.227358243555202
110,0.17896209936534022
123,0.16391505792239444
136,0.16138834578946892
149,0.1612068663143048
164,0.14047468124152568
188,0.1416661223330833
212,0.12426991921368044
236,0.11046481855237478
260,0.10464543177025355
280,0.10464543177025355
315,0.08646120535431197
350,0.07972937956218609
385,0.06885373685846767
420,0.06051127158770518
454,0.06051127158770518
508,0.07944225884785516
562,0.09187492291593263
616,0.10185685704066559
670,0.10785176905261261
688,0.10785176905261261
717,0.10782017149674678
746,0.09641852996253387
775,0.09128496077727791
804,0.08317206034460023
827,0.08317206034460023
872,0.08714676518408834
917,0.08685314881822943
962,0.09635927907051922
1007,0.08330592560885342
1030,0.08330592560885342
1082,0.0963299492801636
1134,0.09152409293487827
1186,0.09644699085925494
1238,0.09648475915815374
