n_evals,gd_global_default
5,0.14005532620922562
10,0.128447940768627
15,0.12354917282825251
20,0.12396230387482243
25,0.11876338279509899
30,0.12478727500327685
35,0.1325061633433597
40,0.129458353721794
45,0.13215924756845854
50,0.12727373776808223
56,0.1246020146108579
64,0.12249912514908767
72,0.13805457807407492
80,0.13576792915087557
88,0.14071898135865102
97,0.13224933169406985
110,0.1210387440892852
123,0.11625787934273887
136,0.11460297195354345
149,0.1150755748314296
164,0.11253978547105954
188,0.12415981417314362
212,0.1340829072699933
236,0.12489303915814676
260,0.11805316144344949
280,0.11886998391555505
315,0.11714754634261368
350,0.11811841948216742
385,0.11206165292506812
420,0.10830622698999075
454,0.10266391116686087
508,0.07649823688344513
562,0.08685901893208625
616,0.09456046447795213
670,0.08178757556051884
688,0.07981142359798853
717,0.07129396146058804
746,0.07140016987877089
775,0.07060992383880842
804,0.06775346717458133
827,0.06691066662566576
872,0.06385683162168995
917,0.06506686761037521
962,0.0599820943744877
1007,0.058427269427332305
1030,0.05718020496715988
1082,0.034971181501375195
1134,0.03503566989586111
1186,0.03952085461456323
1238,0.04187246979576387
