Attribute,Value
Number Critical Scenarios,884
Number Critical Scenarios (duplicate free),292
Number All Scenarios,1186
Number All Scenarios (duplicate free),494
Number Best Critical Scenarios,52
Number Best Critical Scenarios (duplicate free),21
Number Best Scenarios,79
Number Best Scenarios (duplicate free),21
Ratio Critical/All scenarios,0.75
Ratio Critical/All scenarios (duplicate free),0.59
Ratio Best Critical/Best Scenarios,0.66
Ratio Best Critical/Best Scenarios (duplicate free),0.57
