Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
0,0.319738,0.885785,4.021062,-0.999750,-1.096855,1
1,0.319738,0.885785,4.021062,-0.999750,-1.096855,1
2,0.319738,0.885785,4.021062,-0.999750,-1.096855,1
3,0.319738,0.885785,4.021062,-0.999750,-1.096855,1
4,0.365009,1.136152,4.012077,-0.998877,-1.223787,1
5,0.365009,1.136152,4.012077,-0.998877,-1.223787,1
6,0.365009,1.136152,4.012077,-0.998877,-1.223787,1
7,0.365009,1.136152,4.012077,-0.998877,-1.223787,1
8,0.365009,1.136152,4.012077,-0.998877,-1.223787,1
9,0.365009,1.136152,4.012077,-0.998877,-1.223787,1
10,0.365009,1.136152,4.012077,-0.998877,-1.223787,1
11,0.365009,1.136152,4.012077,-0.998877,-1.223787,1
12,0.365009,1.136152,4.012077,-0.998877,-1.223787,1
13,0.365009,1.136152,4.012077,-0.998877,-1.223787,1
14,0.365009,1.136152,4.012077,-0.998877,-1.223787,1
15,0.805464,1.441282,1.373001,-0.998425,-2.171568,1
16,0.805464,1.441282,1.373001,-0.998425,-2.171568,1
17,0.805464,1.441282,1.373001,-0.998425,-2.171568,1
18,0.796327,0.898829,0.048116,-0.998315,-2.273896,1
19,0.635994,1.293063,1.420137,-0.838980,-3.354848,1
20,0.635994,1.293063,1.420137,-0.838980,-3.354848,1
21,0.635994,1.293063,1.421850,-0.838980,-3.354848,1
22,0.635994,1.293063,1.420137,-0.838980,-3.354848,1
23,0.635994,1.293063,1.421850,-0.838980,-3.354848,1
24,0.739336,1.307329,0.918703,-0.793133,-3.612208,1
25,0.739336,1.307329,0.918703,-0.793133,-3.612208,1
26,0.739336,1.307329,0.918703,-0.793133,-3.612208,1
27,0.739336,1.307329,0.918703,-0.793133,-3.612208,1
28,0.739336,1.307329,0.918703,-0.793133,-3.612208,1
29,0.739336,1.307329,0.918703,-0.793133,-3.612208,1
30,0.739336,1.307329,0.918703,-0.793133,-3.612208,1
31,0.739336,1.307329,0.918703,-0.793133,-3.612208,1
32,0.739336,1.307329,0.918703,-0.793133,-3.612208,1
33,0.759458,1.343188,0.907879,-0.791149,-3.633723,1
34,0.759458,1.343188,0.907879,-0.791149,-3.633723,1
35,0.759458,1.343188,0.907879,-0.791149,-3.633723,1
36,0.759458,1.343188,0.907879,-0.791149,-3.633723,1
37,0.759458,1.343188,0.907879,-0.791149,-3.633723,1
38,0.759458,1.343188,0.907879,-0.791149,-3.633723,1
39,0.759458,1.343188,0.907879,-0.791149,-3.633723,1
40,0.759458,1.343188,0.907879,-0.791149,-3.633723,1
41,0.759458,1.343188,0.907879,-0.791149,-3.633723,1
42,0.797272,1.161714,0.024632,-0.754636,-4.041700,1
43,0.809964,1.181744,0.021163,-0.714703,-4.169759,1
44,0.809964,1.181744,0.021163,-0.714703,-4.169759,1
45,0.809964,1.181744,0.021390,-0.714703,-4.169759,1
46,0.809964,1.181744,0.021163,-0.714703,-4.169759,1
47,0.809964,1.181744,0.021390,-0.714703,-4.169759,1
48,0.809964,1.181744,0.021163,-0.714703,-4.169759,1
49,0.809964,1.181744,0.021390,-0.714703,-4.169759,1
50,0.810804,1.179675,0.008415,-0.689006,-4.170811,1
51,0.810804,1.179675,0.008415,-0.689006,-4.170811,1
52,1.371030,2.510418,0.634398,-0.223266,-4.768044,0
53,1.371030,2.510418,0.634398,-0.223266,-4.768044,0
54,1.371030,2.510418,0.634398,-0.223266,-4.768044,0
55,1.371030,2.510418,0.634398,-0.223266,-4.768044,0
56,1.371030,2.510418,0.417740,-0.032541,-5.109411,0
57,1.371030,2.510418,0.417740,-0.032541,-5.109411,0
58,1.371030,2.510418,0.417740,-0.032541,-5.109411,0
59,1.371030,2.510418,0.417740,-0.032541,-5.109411,0
60,1.371030,2.510418,0.417740,-0.032541,-5.109411,0
61,1.371030,2.510418,0.417740,-0.032541,-5.109411,0
62,1.371030,2.510418,0.417740,-0.032541,-5.109411,0
63,1.371030,2.510418,0.417740,-0.032541,-5.109411,0
64,1.371030,2.510418,0.417740,-0.032541,-5.109411,0
65,1.371030,2.510418,0.417740,-0.032541,-5.109411,0
66,1.371030,2.510418,0.417740,-0.032541,-5.109411,0
67,1.595775,1.529646,0.505217,-0.000000,-5.330872,0
68,1.911243,1.160841,0.035035,-0.000000,-6.619326,0
69,1.976149,1.160841,0.002492,-0.000000,-6.894508,0
70,1.976149,1.160841,0.002492,-0.000000,-6.894508,0
71,1.976149,1.160841,0.002492,-0.000000,-6.894508,0
72,1.986727,1.339475,0.308739,-0.000000,-6.932084,0
73,1.999918,1.295939,0.352968,-0.000000,-6.977916,0
74,1.999918,1.295939,0.352968,-0.000000,-6.977916,0
75,1.999918,1.295939,0.352968,-0.000000,-6.977916,0
76,1.999918,1.295939,0.352968,-0.000000,-6.977916,0
77,1.997753,0.725734,0.002581,-0.000000,-6.979926,0
78,1.999918,0.725190,0.002581,-0.000000,-6.986983,0
