n_evals,sp_global
7,0.274320939670572
14,0.16666666666666682
21,0.12500000000000008
28,0.0869565217391304
35,0.06942895820831389
42,0.06451612903225831
49,0.06216837512943468
56,0.10737526943805424
63,0.08695652173913052
70,0.06963840045877256
78,0.05555555555555577
87,0.04542336643113556
96,0.04347826086956547
105,0.04109317247893844
114,0.036143680822133754
125,0.03124999999999992
141,0.028985507246376798
157,0.02409638554216874
173,0.021505376344086027
189,0.01888229844782119
205,0.01666666666666661
232,0.017872875815125974
259,0.01923076923076909
286,0.015873015873015883
313,0.014529160309346884
332,0.012903225806451599
367,0.03272014596738136
402,0.03636026611059363
437,0.029850746268656872
472,0.027777777777777738
493,0.02173913043478273
519,0.02816901408450688
545,0.03771962880077198
571,0.03846153846153856
597,0.028169014084506918
616,0.022222222222222286
640,0.017543859649122487
664,0.01724137931034478
688,0.017094017094016842
712,0.041503908956535725
724,0.03333333333333336
740,0.028546432726363268
756,0.02409638554216856
772,0.020833333333333
788,0.019801980198020045
804,0.01709401709401706
833,0.029398862944317705
862,0.025466233274716043
891,0.02197802197802187
920,0.01928082990531637
934,0.01709401709401697
963,0.025974025974025847
992,0.02283180250809916
1021,0.025641025641025217
1050,0.023809523809523676
1063,0.020618556701030917
1087,0.029205313071683104
1111,0.02666666666666677
1135,0.04217398470862646
1159,0.034482758620689474
