n_evals,sp
7,0.274320939670572
14,0.2743206007317854
21,0.27457579227227197
28,0.27457579227227197
35,0.2744259541607658
42,0.2744259541607658
49,0.3252389849430035
56,0.31949513687589876
63,0.3195114936247487
70,0.31823891118806574
78,0.2755304816449543
87,0.2423025078110787
96,0.23883323188683656
105,0.2267587910279625
114,0.22649242541471262
125,0.19252829966402224
141,0.1493054642529554
157,0.13088504048093216
173,0.13088785686368884
189,0.1307568792192142
205,0.1307568792192142
232,0.12869538856280655
259,0.11546542896704985
286,0.09349768686374732
313,0.10780331460824481
332,0.10780331460824481
367,0.19578259188075334
402,0.16362080146192234
437,0.14022199710215347
472,0.09816983571545332
493,0.09816983571545332
519,0.08925540863143515
545,0.13080902826582297
571,0.13089952401420762
597,0.109053554187602
616,0.109053554187602
640,0.08695652173913025
664,0.08695652173913035
688,0.08695652173913017
712,0.18104725884188896
724,0.18104725884188896
740,0.18104725884191766
756,0.16601284025515123
772,0.16601284025515123
788,0.13282134122471173
804,0.13282134122471173
833,0.1660099363850637
862,0.1803018252396464
891,0.16527523771526886
920,0.15256308292689008
934,0.15256308292689008
963,0.16532464840220737
992,0.1653246484128121
1021,0.14351765878328737
1050,0.15420902130513273
1063,0.15420902130513273
1087,0.18514043077247516
1111,0.18514043077247516
1135,0.18514319692717215
1159,0.1683302329009611
