n_evals,gd_global_default
7,0.20417260950544497
14,0.1909779796393942
21,0.16776478448475482
28,0.17485546189050702
35,0.1801648495860534
42,0.18270026939826892
49,0.14426052089147157
56,0.0736812259136301
63,0.05986086877141614
70,0.06836998782247795
78,0.07244699245101856
87,0.07387242656671174
96,0.08574408563603435
105,0.10376983847295668
114,0.10743418279961028
125,0.10694083967001837
141,0.0911207160680377
157,0.08778675561791954
173,0.08641960620287434
189,0.08758542655139578
205,0.08761109790057364
232,0.10383632840105018
259,0.07452546869449149
286,0.07181557685830739
313,0.07654156113846637
332,0.07600046290269177
367,0.0779947475740388
402,0.08440982745258767
437,0.08286112853358756
472,0.07557863937528798
493,0.07397132706855458
519,0.06463832902276123
545,0.07110258825177403
571,0.05788638906952274
597,0.05720344164316506
616,0.0568056810541875
640,0.055000826682573646
664,0.029395634592103266
688,0.029988418063988304
712,0.04556624040689565
724,0.04701776147731014
740,0.049343283332984135
756,0.04927065218146563
772,0.049217489173653116
788,0.05337269987582879
804,0.05295316469857796
833,0.09141032805775981
862,0.09024636321669172
891,0.08928738592316245
920,0.08959747456112625
934,0.08832100295558833
963,0.03440912519770729
992,0.03739472144005913
1021,0.045691041235431024
1050,0.03342503817550025
1063,0.03235616326855671
1087,0.04036240560051547
1111,0.03779038710463961
1135,0.014483979939315716
1159,0.016342741186209733
