Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
0,0.380247,0.535698,0.330727,-0.999699,-1.262018,1
1,0.875628,2.444810,1.769698,-0.919631,-2.431717,1
2,1.556599,1.287933,0.072206,-0.999750,-0.908314,1
3,0.367339,0.578688,0.250021,-0.975080,-2.098939,1
4,0.693955,1.634145,1.912269,-0.736447,-3.438632,1
5,0.375081,0.571629,0.215833,-0.970420,-2.133707,1
6,0.920431,1.391585,0.202243,-0.651654,-4.526132,1
7,1.971285,1.441230,0.011867,-0.000003,-6.864625,0
8,1.999276,1.303862,0.117452,-0.000000,-6.984223,0
9,0.376030,0.571629,0.215833,-0.969682,-2.140658,1
10,1.669705,2.043692,0.197438,-0.431403,-4.581257,0
11,1.998738,1.416894,0.003719,-0.000001,-6.982632,0
12,1.526907,1.287933,0.078980,-0.986875,-1.360098,1
13,1.999276,1.303862,0.119258,-0.000000,-6.984223,0
14,1.556599,1.992667,0.190603,-0.421229,-4.894139,0
15,1.697027,1.992828,0.075821,-0.315032,-6.768612,0
16,1.972122,1.425522,0.004771,-0.000003,-6.867942,0
