Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Critical adapted distance,Velocity at critical distance
0,0.604534,2.103984,2.831188,-0.945435,-1.826371
1,0.356390,0.536001,0.252973,-0.671552,-1.246324
2,1.441347,1.340041,0.072206,-0.642836,-0.319215
3,0.302678,0.544393,1.385240,-0.637424,-0.677692
4,0.604534,2.103984,2.831188,-0.945435,-1.826371
5,0.356390,0.504132,0.252973,-0.997519,-1.201656
6,0.852588,2.444810,1.877989,-0.912153,-2.345444
7,0.356077,0.500136,0.202203,-0.986063,-1.200758
8,0.356390,0.536001,0.252973,-0.671552,-1.246324
9,1.441347,1.340041,0.072206,-0.642836,-0.319215
10,0.302678,0.544393,1.385240,-0.637424,-0.677692
11,1.306157,1.304260,0.136258,-0.616462,-0.882693
12,0.604534,2.103984,2.831188,-0.945435,-1.826371
13,0.356390,0.504132,0.252973,-0.997519,-1.201656
14,0.852588,2.444810,1.877989,-0.912153,-2.345444
15,0.356077,0.500136,0.202203,-0.986063,-1.200758
16,0.354190,0.504132,0.252973,-0.994030,-1.193947
17,0.356390,0.545090,0.229843,-0.688532,-1.586858
18,0.356676,0.546789,0.136102,-0.680795,-1.518233
19,0.355031,0.536001,0.252973,-0.672874,-1.308962
20,0.356390,0.536001,0.252973,-0.671552,-1.246324
21,1.306157,1.304260,0.136258,-0.616462,-0.882693
22,0.319594,0.544393,1.206234,-0.649974,-0.822572
23,1.441347,1.340041,0.072206,-0.642836,-0.319215
24,0.604534,2.103984,2.831188,-0.945435,-1.826371
25,0.852588,2.444810,1.877989,-0.912153,-2.345444
26,0.604534,2.103984,2.926023,-0.973681,-1.825106
27,0.380247,0.535698,0.330727,-0.999699,-1.262018
28,0.371950,0.943189,2.268276,-0.674041,-2.418257
29,0.367339,0.558644,0.250021,-0.812509,-1.834572
30,0.356390,0.504132,0.252973,-0.997519,-1.201656
31,0.376023,0.504132,0.169208,-0.982836,-1.258633
32,0.356390,0.545090,0.229843,-0.688532,-1.586858
33,0.356077,0.500136,0.202203,-0.986063,-1.200758
34,0.354190,0.504132,0.252973,-0.994030,-1.193947
35,1.554730,1.287933,0.072206,-0.996906,-0.979791
36,0.356676,0.546789,0.136102,-0.680795,-1.518233
37,0.355031,0.536001,0.252973,-0.672874,-1.308962
38,0.356390,0.536001,0.252973,-0.671552,-1.246324
39,0.604534,2.103984,2.831188,-0.945435,-1.826371
40,0.604534,2.103984,2.926023,-0.973681,-1.825106
41,0.380247,0.535698,0.330727,-0.999699,-1.262018
42,0.875628,2.444810,1.769698,-0.919631,-2.431717
43,1.556599,1.287933,0.072206,-0.999750,-0.908314
44,0.376023,0.504132,0.169208,-0.982836,-1.258633
45,0.356392,0.503901,0.252973,-0.997535,-1.201656
46,0.852588,2.444810,1.877989,-0.912153,-2.345444
47,0.371950,0.939797,2.268276,-0.728322,-2.418257
48,0.356390,0.504132,0.252973,-0.997519,-1.201656
49,0.367339,0.558644,0.250021,-0.812509,-1.834572
50,0.371950,0.943189,2.268276,-0.674041,-2.418257
51,0.371950,0.943189,2.269226,-0.674041,-2.418257
52,0.356390,0.504132,0.215867,-0.997324,-1.201656
53,0.356390,0.545090,0.229843,-0.688532,-1.586858
54,0.356077,0.500136,0.202203,-0.986063,-1.200758
55,0.354190,0.504132,0.252973,-0.994030,-1.193947
56,1.554730,1.287933,0.072206,-0.996906,-0.979791
57,0.356676,0.546789,0.136102,-0.680795,-1.518233
58,0.356077,0.502462,0.202203,-0.985877,-1.200758
59,0.354187,0.536237,0.252973,-0.640387,-1.427590
60,0.380247,0.535698,0.330727,-0.999699,-1.262018
61,0.875628,2.444810,1.769698,-0.919631,-2.431717
62,1.556599,1.287933,0.072206,-0.999750,-0.908314
63,0.367339,0.578688,0.250021,-0.975080,-2.098939
64,0.356392,0.503901,0.252973,-0.997535,-1.201656
65,0.376023,0.504132,0.177053,-0.983113,-1.258633
66,0.372625,0.509207,0.036400,-0.990390,-1.243050
67,0.852588,2.444810,1.877989,-0.912153,-2.345444
68,0.371950,0.939797,2.268276,-0.728322,-2.418257
69,0.604534,2.103984,2.831188,-0.945435,-1.826371
70,0.604534,2.103984,2.926023,-0.973681,-1.825106
71,0.356390,0.504132,0.252973,-0.997519,-1.201656
72,0.376023,0.501770,0.135646,-0.982934,-1.258633
73,0.367339,0.558644,0.250021,-0.812509,-1.834572
74,0.371950,0.943189,2.268276,-0.674041,-2.418257
75,0.371950,0.943189,2.269226,-0.674041,-2.418257
76,0.356390,0.504132,0.215867,-0.997324,-1.201656
77,0.376023,0.504132,0.169208,-0.982836,-1.258633
78,0.356677,0.546789,0.215833,-0.709114,-1.660721
79,1.554730,1.287933,0.072206,-0.996906,-0.979791
80,0.356390,0.545090,0.229843,-0.688532,-1.586858
81,0.356390,1.295072,4.819075,-0.902493,-1.201656
82,0.380247,0.535698,0.330727,-0.999699,-1.262018
83,0.875628,2.444810,1.769698,-0.919631,-2.431717
84,1.556599,1.287933,0.072206,-0.999750,-0.908314
85,0.367339,0.578688,0.250021,-0.975080,-2.098939
86,0.693955,1.634145,1.912269,-0.736447,-3.438632
87,0.375081,0.571629,0.215833,-0.970420,-2.133707
88,0.920431,1.391585,0.202243,-0.651654,-4.526132
89,0.356392,0.503901,0.252973,-0.997535,-1.201656
90,0.372625,0.509207,0.036400,-0.990390,-1.243050
91,0.376023,0.503603,0.177053,-0.983320,-1.258633
92,0.852588,2.444810,1.877989,-0.912153,-2.345444
93,0.604534,2.103984,2.926023,-0.973681,-1.825106
94,0.387847,0.506725,0.169526,-0.973769,-1.275776
95,0.371950,0.939797,2.268276,-0.728322,-2.418257
96,0.613760,0.739686,0.341055,-0.951877,-1.857292
97,0.356390,0.504132,0.252973,-0.997519,-1.201656
98,0.376023,0.504132,0.177053,-0.983113,-1.258633
99,0.371950,0.939852,2.268276,-0.727462,-2.418257
100,0.604534,2.103984,2.831188,-0.945435,-1.826371
101,0.367339,0.558644,0.250021,-0.812509,-1.834572
102,0.356390,0.504132,0.215867,-0.997324,-1.201656
103,0.376023,0.501770,0.135646,-0.982934,-1.258633
104,0.371950,0.943134,2.268276,-0.674924,-2.418257
105,0.356677,0.546789,0.215833,-0.709114,-1.660721
106,0.356390,0.504132,0.155070,-0.997031,-1.201656
107,0.371950,0.943189,2.268276,-0.674041,-2.418257
108,0.356390,0.546359,0.252973,-0.688649,-1.586858
109,0.376023,0.504132,0.169208,-0.982836,-1.258633
110,0.371950,0.943189,2.269226,-0.674041,-2.418257
111,0.380247,0.535698,0.330727,-0.999699,-1.262018
112,0.875628,2.444810,1.769698,-0.919631,-2.431717
113,1.556599,1.287933,0.072206,-0.999750,-0.908314
114,0.367339,0.578688,0.250021,-0.975080,-2.098939
115,0.693955,1.634145,1.912269,-0.736447,-3.438632
116,0.375081,0.571629,0.215833,-0.970420,-2.133707
117,0.920431,1.391585,0.202243,-0.651654,-4.526132
118,0.376030,0.571629,0.215833,-0.969682,-2.140658
119,1.526907,1.287933,0.078980,-0.986875,-1.360098
120,0.372625,0.509207,0.036400,-0.990390,-1.243050
121,0.356390,0.501717,0.257387,-0.997690,-1.201656
122,0.377136,0.506725,0.188941,-0.988236,-1.258744
123,0.852588,2.444810,1.877989,-0.912153,-2.345444
124,0.367339,0.573649,0.152627,-0.975030,-2.098939
125,0.371950,0.939797,2.268276,-0.728322,-2.418257
126,0.356392,0.503901,0.252973,-0.997535,-1.201656
127,0.376023,0.503603,0.177053,-0.983320,-1.258633
128,0.604534,2.103984,2.926023,-0.973681,-1.825106
129,0.387847,0.506725,0.169526,-0.973769,-1.275776
130,0.613760,0.739686,0.341055,-0.951877,-1.857292
131,0.367339,0.558644,0.154199,-0.877505,-1.972760
