Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Critical adapted distance,Velocity at critical distance
0,0.429809,0.907391,1.393859,-0.892481,-2.738556
1,0.438750,0.646046,1.000664,-0.620621,-1.440013
2,0.429809,0.907391,1.393859,-0.892481,-2.738556
3,0.436352,2.640003,4.623991,-0.998494,-1.399931
4,0.461434,0.639707,0.908662,-0.978270,-1.475464
5,0.468272,0.909951,0.943750,-0.806145,-2.868615
6,0.429809,0.909062,1.391705,-0.876075,-2.738556
7,0.506576,0.645947,0.655339,-0.640754,-1.572295
8,0.498816,0.590714,0.100473,-0.825743,-1.567111
9,0.438750,0.646046,1.000664,-0.620621,-1.440013
10,0.429809,0.896297,1.393859,-0.738895,-0.439871
11,0.429809,0.839971,1.499520,-0.675239,-0.765377
12,0.429809,0.907391,1.393859,-0.892481,-2.738556
13,0.436352,2.640003,4.623991,-0.998494,-1.399931
14,0.461434,0.639707,0.908662,-0.978270,-1.475464
15,0.468272,0.909951,0.943750,-0.806145,-2.868615
16,0.372220,0.588605,0.100473,-0.937369,-2.130519
17,0.447812,2.890147,4.569354,-0.997617,-1.436996
18,0.429809,0.909062,1.391705,-0.876075,-2.738556
19,0.400958,1.787314,4.623991,-0.991372,-1.325910
20,0.498816,0.590714,0.100473,-0.825743,-1.567111
21,0.785143,2.548233,2.313814,-0.821977,-2.107407
22,0.506576,0.645947,0.655339,-0.640754,-1.572295
23,0.438750,0.644256,1.367837,-0.757150,-1.406126
24,0.438750,0.646046,1.000664,-0.620621,-1.440013
25,0.429809,0.896297,1.393859,-0.738895,-0.439871
26,0.468272,0.901115,0.943750,-0.721685,-0.922554
27,0.429809,0.839971,1.499520,-0.675239,-0.765377
28,0.449140,0.694158,0.005566,-0.671784,-0.768910
29,0.429809,0.579706,0.029492,-0.606659,-0.448002
30,0.429809,0.907391,1.393859,-0.892481,-2.738556
31,0.436352,2.640003,4.623991,-0.998494,-1.399931
32,0.468272,0.909951,0.943750,-0.806145,-2.868615
33,0.372220,0.588605,0.100473,-0.937369,-2.130519
34,0.447812,2.890147,4.569354,-0.997617,-1.436996
35,0.461434,0.637839,0.844341,-0.993025,-1.475464
36,0.449140,0.591376,0.000305,-0.992379,-2.111756
37,0.429809,0.909062,1.391705,-0.876075,-2.738556
38,0.461434,0.639707,0.908662,-0.978270,-1.475464
39,0.395096,1.787314,4.623991,-0.992245,-1.302969
40,0.481440,0.645947,0.675442,-0.957392,-1.530981
41,0.446647,2.888166,4.569354,-0.991831,-1.433069
42,0.373385,0.592484,0.100473,-0.891567,-2.067000
43,0.458557,1.126151,2.176828,-0.701509,-2.724253
44,0.372220,0.590474,0.164871,-0.847236,-2.144707
45,0.461434,0.639707,0.909685,-0.978269,-1.475464
46,0.400958,1.787314,4.623991,-0.991372,-1.325910
47,0.498816,0.590714,0.100473,-0.825743,-1.567111
48,0.785143,2.548233,2.313814,-0.821977,-2.107407
49,0.401272,1.691856,4.623991,-0.973572,-1.327613
50,0.506576,0.645947,0.655339,-0.640754,-1.572295
51,0.438750,0.644256,1.367837,-0.757150,-1.406126
52,0.408662,0.743005,1.367837,-0.634739,-2.050550
53,0.468409,0.909951,1.355581,-0.780610,-0.106246
54,0.468272,0.901115,0.943750,-0.721685,-0.922554
55,0.438613,0.644256,0.956006,-0.651650,-1.285248
56,0.438750,0.646046,1.000664,-0.620621,-1.440013
57,0.429809,0.896297,1.393859,-0.738895,-0.439871
58,0.429809,0.907391,1.393859,-0.892481,-2.738556
59,0.436352,2.640003,4.623991,-0.998494,-1.399931
60,0.372220,0.588605,0.100473,-0.937369,-2.130519
61,0.447812,2.890147,4.569354,-0.997617,-1.436996
62,0.461434,0.637839,0.844341,-0.993025,-1.475464
63,0.449140,0.591376,0.000305,-0.992379,-2.111756
64,0.468272,0.909951,0.955790,-0.824524,-2.868615
65,0.429809,0.909062,1.391705,-0.876075,-2.738556
66,0.436305,2.640003,4.625548,-0.997303,-1.400077
67,0.447812,2.847042,4.569354,-0.996392,-1.436996
68,0.481440,0.645947,0.675442,-0.957392,-1.530981
69,0.373385,0.592484,0.100473,-0.891567,-2.067000
70,0.478959,0.645947,0.675442,-0.982173,-1.526522
71,0.468272,0.909951,0.943750,-0.806145,-2.868615
72,0.372220,0.590474,0.164871,-0.847236,-2.144707
73,0.395096,1.787314,4.623991,-0.992245,-1.302969
74,0.446647,2.888166,4.569354,-0.991831,-1.433069
75,0.461434,0.639707,0.908662,-0.978270,-1.475464
76,0.429809,0.909062,1.354560,-0.805005,-2.738556
77,0.438452,0.913509,1.185640,-0.611697,-2.798278
78,0.498816,0.590714,0.100473,-0.825743,-1.567111
79,0.785143,2.548233,2.313814,-0.821977,-2.107407
80,0.400958,1.787314,4.623991,-0.991372,-1.325910
81,0.461434,0.639707,0.909685,-0.978269,-1.475464
82,0.458557,1.126151,2.176828,-0.701509,-2.724253
83,0.455032,1.126151,2.232076,-0.786960,-2.714370
84,0.504246,0.676369,0.801593,-0.805988,-1.568239
85,0.401272,1.697308,4.628388,-0.975321,-1.327613
86,0.438986,2.354201,4.650818,-0.959282,-1.407174
87,0.408662,0.743005,1.367837,-0.634739,-2.050550
88,1.588636,1.427772,0.206246,-0.717075,-1.970679
89,0.401272,1.691856,4.623991,-0.973572,-1.327613
90,0.366906,0.592449,0.005107,-0.674593,-1.827273
91,0.438750,0.644256,1.367837,-0.757150,-1.406126
92,0.435827,2.655868,4.509357,-0.862803,-1.400512
93,0.429809,0.907391,1.393859,-0.892481,-2.738556
94,0.436352,2.640003,4.623991,-0.998494,-1.399931
95,0.372220,0.588605,0.100473,-0.937369,-2.130519
96,0.447812,2.890147,4.569354,-0.997617,-1.436996
97,0.449140,0.591376,0.000305,-0.992379,-2.111756
98,0.468272,0.909951,0.955790,-0.824524,-2.868615
99,0.471885,0.641704,0.634757,-0.993099,-1.503978
100,0.446647,0.665529,0.254298,-0.959291,-2.115386
101,0.429809,0.909062,1.391705,-0.876075,-2.738556
102,0.436305,2.640003,4.625548,-0.997303,-1.400077
103,0.447812,2.847042,4.569354,-0.996392,-1.436996
104,0.494500,1.265705,2.774851,-0.988583,-1.567028
105,0.468272,0.909951,0.943750,-0.806145,-2.868615
106,0.461434,0.637839,0.844341,-0.993025,-1.475464
107,0.409054,0.608460,0.304133,-0.915031,-1.963230
108,0.785143,2.644452,2.313814,-0.908682,-2.107407
109,0.372220,0.590474,0.164871,-0.847236,-2.144707
110,0.372134,0.590545,0.164871,-0.849645,-2.141511
111,0.447812,2.845611,4.569354,-0.996350,-1.436996
112,0.481440,0.645947,0.675442,-0.957392,-1.530981
113,0.478959,0.645947,0.675442,-0.982173,-1.526522
114,0.429809,0.909062,1.354560,-0.805005,-2.738556
115,0.438452,0.913509,1.185640,-0.611697,-2.798278
116,0.373385,0.592484,0.100473,-0.891567,-2.067000
117,0.579979,0.907391,1.457063,-0.900927,-1.769091
118,0.785143,2.548233,2.313814,-0.821977,-2.107407
119,0.446647,2.888166,4.569354,-0.991831,-1.433069
120,0.436352,2.543783,4.623991,-0.994190,-1.399931
121,0.461434,0.663645,0.909169,-0.978837,-1.475464
122,0.458557,1.126151,2.176828,-0.701509,-2.724253
123,0.455032,1.126151,2.232076,-0.786960,-2.714370
124,0.440611,0.645947,0.675442,-0.851557,-2.023046
125,0.395096,1.787314,4.623991,-0.992245,-1.302969
126,0.408662,0.743005,1.367837,-0.634739,-2.050550
127,1.588636,1.427772,0.206246,-0.717075,-1.970679
128,0.436352,2.640003,4.623991,-0.998494,-1.399931
129,0.447812,2.890147,4.569354,-0.997617,-1.436996
130,0.449140,0.591376,0.000305,-0.992379,-2.111756
131,0.468272,0.909951,0.955790,-0.824524,-2.868615
132,0.471885,0.641704,0.634757,-0.993099,-1.503978
133,0.447089,0.913509,1.284547,-0.971694,-2.827065
134,0.436305,2.640003,4.625548,-0.997303,-1.400077
135,0.447812,2.847042,4.569354,-0.996392,-1.436996
136,0.494500,1.265705,2.774851,-0.988583,-1.567028
137,0.468272,0.909951,0.943750,-0.806145,-2.868615
138,0.461434,0.637839,0.844341,-0.993025,-1.475464
139,0.461434,0.637839,0.844401,-0.993025,-1.475464
140,0.429809,0.907391,1.393859,-0.892481,-2.738556
141,0.372220,0.588605,0.100473,-0.937369,-2.130519
142,0.446647,0.665529,0.254298,-0.959291,-2.115386
143,0.447812,2.845611,4.569354,-0.996350,-1.436996
144,0.478959,0.645947,0.675442,-0.982173,-1.526522
145,0.478959,0.645947,0.676363,-0.982173,-1.526522
146,0.468272,0.909951,2.288063,-0.983938,-1.492736
147,0.438452,0.913509,1.185640,-0.611697,-2.798278
148,0.436419,0.913509,1.214800,-0.624489,-2.791273
149,0.447720,2.890147,4.586534,-0.991823,-1.437214
150,0.429809,0.909062,1.391705,-0.876075,-2.738556
151,0.409054,0.608460,0.304133,-0.915031,-1.963230
152,0.785143,2.644452,2.313814,-0.908682,-2.107407
153,0.481440,0.645947,0.675442,-0.957392,-1.530981
154,0.471885,0.636399,0.018339,-0.877694,-2.115120
155,0.446647,2.888166,4.569354,-0.991831,-1.433069
156,0.436352,2.543783,4.623991,-0.994190,-1.399931
