Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Critical adapted distance,Velocity at critical distance,Critical
0,1.455097,1.173821,0.387677,-0.000000,-4.747454,0
1,1.365778,2.712094,0.687810,-0.134443,-3.707432,0
2,1.828754,0.942555,0.029651,-0.000000,-6.281407,0
3,1.959222,1.264659,0.675684,-0.000000,-6.812048,0
4,1.697978,2.512686,0.238711,-0.017526,-3.845818,0
5,1.399660,2.924581,1.006077,-0.000001,-4.417526,0
6,0.429809,0.907391,1.393859,-0.892481,-2.738556,1
7,1.597170,1.809372,1.025780,-0.000000,-5.142700,0
8,1.630216,1.447052,0.894311,-0.000000,-5.381496,0
9,1.929586,2.626378,2.597140,-0.000000,-6.696050,0
10,1.911149,0.957721,0.773373,-0.000000,-6.618674,0
11,1.779410,0.723293,0.315945,-0.000000,-6.078451,0
12,1.922543,2.927144,3.795537,-0.000000,-6.670577,0
13,1.050126,1.713264,1.121060,-0.009599,-3.082006,0
14,1.215196,2.267256,1.700712,-0.000000,-3.592383,0
15,1.151921,2.061802,1.633563,-0.000000,-3.382821,0
16,0.596242,0.640027,0.262236,-0.271970,-1.796826,0
17,0.498816,0.565813,0.100473,-0.448210,-1.566895,0
18,1.717001,2.774267,0.532682,-0.264014,-2.593773,0
19,0.438750,0.646046,1.000664,-0.620621,-1.440013,1
20,1.309305,0.940720,0.751311,-0.000000,-4.125562,0
21,1.582383,1.298842,0.952411,-0.000000,-5.184848,0
22,1.891318,2.670999,1.396000,-0.000000,-6.082745,0
23,1.216026,2.216360,1.958958,-0.000000,-3.556373,0
24,1.069486,2.010733,2.281652,-0.000000,-3.028171,0
25,0.791197,2.335804,0.844041,-0.164164,-2.156402,0
26,0.759038,1.382857,0.691819,-0.174227,-1.202922,0
27,0.487335,0.801533,0.595009,-0.620244,-0.065012,0
28,0.426158,2.144836,3.705462,-0.274848,-0.107134,0
29,1.508162,1.341890,1.481074,-0.000000,-4.669471,0
30,1.601805,1.583733,1.503784,-0.000000,-4.988272,0
31,1.773416,0.830201,1.580535,-0.000000,-6.049292,0
32,1.808561,1.689250,1.395112,-0.000000,-5.754902,0
33,1.168873,2.550557,2.216630,-0.000000,-3.363281,0
34,0.540192,1.816997,0.370465,-0.001953,-1.694306,0
35,0.436352,1.790212,4.623991,-0.101413,-1.400316,0
36,0.468787,2.379288,4.701804,-0.012829,-1.478606,0
37,0.658774,2.468703,0.212605,-0.000775,-1.943283,0
38,0.730420,1.982620,3.062695,-0.000002,-2.060028,0
39,0.775763,1.811063,3.393587,-0.000000,-2.135529,0
40,0.638911,2.073931,0.020316,-0.000968,-1.900588,0
41,0.671452,2.523942,2.314190,-0.218774,-0.072705,0
42,0.677513,1.747677,1.275399,-0.168871,-0.081275,0
43,1.473443,1.759844,1.790630,-0.000000,-4.386466,0
44,1.764136,2.555728,4.531243,-0.000000,-6.018986,0
45,1.743149,0.588097,2.090073,-0.000000,-5.924632,0
46,1.746696,1.800442,1.675982,-0.000000,-5.498138,0
47,1.659444,0.773183,1.620919,-0.000000,-5.589395,0
48,0.999747,1.511452,2.786594,-0.000000,-2.674123,0
49,0.998900,2.597697,3.217713,-0.000000,-2.660278,0
50,1.155210,2.707164,2.664193,-0.000000,-3.216173,0
51,0.898056,1.544957,0.266034,-0.076204,-0.524211,0
52,0.179989,0.621062,1.446269,-0.027912,-0.720704,0
53,0.395682,2.335291,2.452933,-0.008871,-1.345202,0
54,0.702797,2.949812,4.148983,-0.000000,-2.037161,0
55,0.714774,2.025738,4.095434,-0.000000,-2.045274,0
56,0.415225,1.495243,4.982413,-0.000429,-1.372465,0
57,0.597101,1.222672,3.545563,-0.000000,-1.797381,0
